_ - value	_ - itemLabel
6dgwEwnK0YtDfS9XhRwBTG	Broken Bells
7lOJ7WXyopaxri0dbOiZkd	Broken Social Scene
6Lll1MPPak4m4vZKuJB264	Broncho
5r5Va4lVQ1zjEfbJSrmCsS	Broods
3amwMyDd1uxTBoUZlazZ9m	Brooke Candy
4TxByrYeV9OgAYIbgmdPqC	Bror Beckman
0FP1GVYq6WKexCiBkPftha	Brother Firetribe
7Iffw1nP3NjCWkRIx3Ily9	Bruce Dickinson
1dWrtjPPXaStGcu0NVgt0z	Bruce Ford
0yiSGGu3grpaH56F9znIeU	Bruce Johnston
3eqjTLE0HfPfh78zjh6TqT	Bruce Springsteen
620FTOvnoeCIRuqX7QAeay	Brunettes Shoot Blondes
0du5cEVh5yTK9QJze8zA0C	Bruno Mars
1p4YAX8Nh6LiW3uPd49oAR	Bruno Walter
4TvgUScBiJZP1P9V1tmMPi	Brutal Truth
03H5nr2bw0gPHj4lRJCUzD	Brutto
5fBbVsFxoa0jDCqocaEdBx	Bryan Kearney
7q7RpicjbjUik3RCrjSKuz	Bryden Thomson
3YDtlBGmfvE2Xw0avhHeK5	Brymir
6ILd69yy67k6OU7cwpGNSl	Bryn Terfel
4D9CWmOaD0VFpwzsIbrkRq	BRZZVLL
1xNM7DF7iSwXxrFaG85nbg	Bses Slwl I
3Nrfpe0tUJi4K4DXYWgMUX	BTS
6t6zRn7Wo4ctJPVLNJlhOs	Buddy Bregman
0tncOz6MVpy67IphfE6VHZ	Buddy Greco
2gCsNOpiBaMNh20jQ5prf0	Buddy Guy
1pVtwG5Up1OZOEpSHJ4AAs	Buddy Rich
11kBu957KTYoAltZHDm8gW	Buena Vista Social Club
7rkeuiwd38oOVhBvOtLL1P	Buke and Gase
1eY7YyYjc9jGnsHdJka906	Bülent Ortaçgil
3HGz0ih69GyXmF2AuKY4i9	Bullan Weijden
7iWiAD5LLKyiox2grgfmUT	Bullet for My Valentine
5vBrKGOjN10BMwB0cJADj4	bülow
45a6gCQWq61lIUDmr1tKuO	Bun B
2CpLIMBoE2ZzyY3ZBCRZ7j	BUNT.
5XlHMCmufGiW7KZDuC9MCB	Burak Güven
7EJB9F3fv0x2ezht730D7F	Burcu Güneş
5zSwFVgHcKDAYoVgoOCN07	Burcu Tatlıses
0uCCBpmg6MrPb1KY2msceF	Burial
63T8Yt5ibQtSzBuSI72y0v	Burning Inside
7L6u6TyhjuwubrcojPeNgf	Burzum
78SHxLdtysAXgywQ4vE0Oa	Bush
7ryUJ9N4ljwtN1D956bi21	Butchers Harem
0ZWiN14c5Q5IcnGlQZCv5S	Butch Trucks
62BcWP4fzR8axESibNQEhs	Butthole Surfers
2DxlS3lTLFIq70S7ap5H3y	Buzzcocks
1IqSFOaiJ9NOO2E6OMgJy2	BWO
0pAiepnQCVbUqlheOGSh1f	BØJET
1KP6TWI40m7p3QBTU6u2xo	Børns
6JUUPSioBfdjtigWeLaFEj	c|†vde| b|vck
03cwCzIWQ8BRmXjGPDAL04	Cab Calloway
5XltDnmtnK6URPuoLtYF0A	Cabeiri
3jXKuyWNGa8hUPsnrblyl7	Cadaver
3znOaqHKhb3YGnsgXrn4Nx	Cadillac Muzik
5L3csGxGr4HsBUrmuiNfIU	Cage
26T3LtbuGT1Fu9m0eRq5X3	Cage the Elephant
2NaZUnDZ5k0I6MjUFmVX8T	Cahit Berkay
2O8jY0TevDFs7R9tzkh4SH	Cahit Oben
09EwLsoJmivFrBl0yisGDE	Cain's Offering
5TADZgwdqVKvAjB1RBrSgZ	Caïnan Dawn
0N98N0DiskOexjlZjJ6YZ7	CajsaStina Åkerström
6A43Djmhbe9100UwnI7epV	Cake
67SD0uFughmmBjZUQ5O1V7	Calculations Of
0yNSzH5nZmHzeE2xn6Xshb	Calle 13
2W9OOsMnU1cXV62u1CfOzq	Calle Jularbo
4ybKgPHm2IPUSWP8LIxNSK	Callisto
5A2yiLLhc0NJaG8rn4mYp5	Calpurnia
6ydoSd3N2mwgwBHtF6K7eX	Calum Scott
0YnrzklWYLWzCZRCnAREwQ	Calva Y Nada
7CajNmpbOovFoOoasH2HaY	Calvin Harris
56QlZ0AFfkaaHyANLVkg5h	Calypso Rose
5WRElKaZsn1tGnrgmJVAeO	Cam
3Uz6jx81OY2J5K8Z4wmy2P	Camel
36CEVQIzO8Ez8eKgTRxW4T	Camembert au lait crew
4Khs7leCaYNvhuVmupy8rt	Camerata Nordica
4nDoRrQiYLoBzwC5BhVJzF	Camila Cabello
0SJy1J0FgP21lbvGBMKT8H	Camila Moreno
4klt36nTCNeC7K7ZkRwioz	Camilla North
36C4oOfqkp9x5LuMOAmiFl	Camille Bazbaz
7bl9LZbwoxmumtr4onAKSo	Camille Chevillard
436sYg6CZhNefQJogaXeK0	Camille Saint-Saëns
2Cy7KBSkqu7otJfuMTWT7Y	Camilo Sesto
4oLZx5FplbgfM8DEe9U8LB	Camp Lo
5gnJHFPWuSRgpIuXAxcjH4	Camp Stag
53dqNaesiJ52bYl36DZuxM	Candida Thompson
3R6c2tWDBeYB1GncjLMn9n	Candlebox
70svT4F0xhbyQ5lQx6UE4b	Candye Kane
5Z0rUIkdvlnx6JYqcC4aU0	Can Gox
1G2uUovCzQzQTxT5YM7zPN	Can Güngör
0Vfk3TQeU24xMeXuF8TR5y	Cannibal Cooking Club
4MUb8ilmrxyePXwSkG31lC	Can Ozan
34tm6lUuHbPMucZtFWIZhq	Capharnaum
5SulO4l40qDuV9zUGLZx7n	Capo Plaza
34OLInsXImlQpjzmQw9Wd3	Caramelos de Cianuros
37J1PlAkhRK7yrZUtqaUpQ	Caravan Palace
38DX4hQVvPBs3PThDIAK11	Carbon Based Lifeforms
3WquReChxjEVWyEn54cEcW	Carboon
2IepsVr1DGAWIy15lh6sxC	Carca
5lhaM01nwvsMZpmPY2HVER	Carcass
4kYSro6naA4h99UJvo89HB	Cardi B
6jTgkwlouytKVkrkLqh7Wb	Carina Ahrle
4TkA9R4Bu0OzTlxvHC6P8n	Carina Jaarnek
0XK6kT7xcZAlcYrNjOgzJe	Carla Morrison
1QAGLCom3FHTTiuRFsjzOj	Carla Thomas
1YZH59RUrh56SrXxTGhpsJ	Carl-Axel Dominique
6i6UT3rytXhfVx1QtIgOFG	Carl Axel Strindberg
38gaTlwdl9wOcuEmrhXC8S	Carl Barcklind
2ahBaSt0robMqzpOdoCLr1	Carl Bertil Agnestig
29nrwultxQ8jENVmXoyMqK	Carl Brave
6p2OF8M4ob4KovaU0SUX4b	Carl Brave x Franco 126
17dbJyUCrxh4I7iyUrjaHU	Carl Craig
4u4g4nPPXFaMsD4RIlFDp8	Carl Fredrik Lundqvist
4tK1TZjoCeKTUr5flyNcxN	Carl Friedrich Abel
5MnIkgxWbLLiQwwn5wQWAR	Carl-Gustaf Lindstedt
5SlskFk8WH79EpFXpSYOow	Carl Hagman
6Z4MzHaJlRMbc5O45HV1I8	Carl Jonas Love Almqvist
7tBilpZUa3XSMlRURPFANt	Carl Lejdström
5Acs3gfLlTqy3lBFIWL9PH	Carl Leopold Sjöberg
1p6wR69pnH9LBWZvwliuz2	Carl Maria von Weber
6wPS4X1B2rJNBrGJ26Xz0s	Carl Michael Bellman
4mi1Lw53RgwwddwkbrKxMh	Carl Michael Von Esser
1gGIN9oDjwg7cTzBOCUGcx	Carl Michael von Hausswolff
73I7vbj7hzsw8rW4LUoxtz	Carl Nielsen
5Or0fj9ajo3hmSBj0iLNiN	Carlo Felice Cillario
7wi1x9DxLtqnhzJIQa7JQF	Carlo Gesualdo
4qtz1XEYUvtmBmC809VMTu	Carl-Olof Anderberg
7LeEa79J3ePCT5pXKQ7Mkv	Carlo Maria Giulini
7ejbPSC0vxg5ApvRn8nJDN	Carlo Prevale
4LXxsm5BF85PWnQ1dUDAze	Carl Orff
0e9NNgG5RfFsde0Af3agz6	Carlos Alberto Rufino
6jXy5qzzh8mg2N7pRwRhNP	Carlos Azócar
75eabwXeePVg6qHQe9G0KQ	Carlos Cutaia
05Q9xndTxhXhD5trpmTtfU	Carlos Gardel
6aL4ovuNuBg7rmrPjOTIUN	Carlos Kleiber
6zUBSpxpy1cnD780uW7eTL	Carlos López Buchardo
2gW0MPcXDVCwe4687zcTOn	Carlos Mena
2gBrndNQW8sDHBa4sxhaAU	Carlos Nogués
4vhNDa5ycK0ST968ek7kRr	Carlos Vives
7C4J4i4Gj0InsSLz4jKwS6	Carl Palmer
3meioy7GWDwpwmjv2LPyAb	Carl Philipp Emanuel Bach
6qrUIvuYX2DLbDruM7rguh	Carl Reinecke
116fCe5kHgtHIjDimaSy6g	Carl Reinholdz
5hozQQ9qGvnN7la5qUGmje	Carl Unander-Scharin
2DwdIeYoQykyPxtiasznsw	Carl von Garaguly
04zDwTMN8SPPydYIfSeFYf	Carl Wilson
4MAi1RAINzk8P5einppnUR	Carly Jibson
4sIl4BTo9l9KqEi0Y3RE72	Carly Pearce
6sFIWsNpZYqfjUpaCgueju	Carly Rae Jepsen
4aFjkvXJvZCBDIbHESP4qi	Carnage
7CCjtD0hCK005Bvg2WG1a7	Carnage
22MyIjTOM67StDqlZXPhkq	Carnival in Coal
6H8Sj9gFyDYJ3T63LA3DKz	Carolina Chocolate Drops
3zFjfjVrmCpsBqTIOB3IB8	Caroline Beil
4zYAaouXzmn3A6XTC2Uqlm	Caroline Loeb
06W84OT2eFUNVwG85UsxJw	Caroline Rose
7FjSvvNq767gjo9ge8oXhP	Carolyn Sampson
1l2oLiukA9i5jEtIyNWIEP	Carpenter Brut
4xFUf1FHVy696Q1JQZMTRj	Carrie Underwood
5Hp5hfBF49kKn8KAkgvNhz	Carson Lueders
07PdYoE4jVRF6Ut40GgVSP	Cartel de Santa
1GiDRloG4PLArBqq6aImyT	Carter Burwell
2NWSKcXJNgSX9TrWTpq7F8	Cary Barlowe
0qPEXB8lbqei1wK1wzcayd	Cary Greisch
2LZDXcxJWgsJfKXZv9a5eG	Cashmere Cat
0lRXEutklZUeNdWIJA1NI0	Casiopea
6Lu3hbs7VSr54OdGuekhdw	Cassiopeia
6eJqAWJdd8JhAN1pQGie4r	Casting Crowns
0tCkjRhnJtzj5sgf5yfOlP	cat/
6d5CGj93XLaqmyt10XgL8O	Cat Ballou
1JunRWsfrFHfOToKFsNBoJ	Catfolkin
5bH10AS61OHo7F4UxSaGSp	Cathal Coughlan
5O7ziOtiFUyRMBJN1J4Tpv	Cathedral
1ygnFQb0wvgWFS4P020EaY	Cat Stevens
6E0PW48iIV7Aze5yKmQYdO	Cátulo Castillo
0iixcMKSp0LCSlrTbI5Rav	Cauldron
7M8Ron4tmbKMALcIIoMmBc	Causeries
1bEnAEdb1mp5ynAw7H6ZJB	Cavit Ergün
7a06JYLmZG3txQqr9uzvbg	Cavo
1sfjSIzbv2E8ZhT6UnbBm9	Cayetano
0uXDy2NJgz8DQOGe1OlUJS	CDM
6yb2PUxafSVe2441W50jbk	Cécile Chaminade
3uw6GzeL10NfFrcikMo9Na	Cecilia Bartoli
38hgx109cqpP10wUTiXfVB	Cecilia Coleman
14TLPExpokS1arm0ZXpeAN	Cecilia Franke
4SLEmV2rAQ71Ts0qyDGhE8	Cecilia Krull
5nLYd9ST4Cnwy6NHaCxbj8	CeeLo Green
2Q59pjJ8u0VpM61Mmv8x8H	Celestaphone
1FIaDvGsK56jO0K0BUs1iW	Celeste Carballo
2weA6hhVqTIN2gSn9PUB9U	Celia Cruz
4S9EykWXhStSc15wEx8QFK	Céline Dion
29TiA5JlE8qICyOYEvyvGR	Cellar Darling
4BKyei61gtyDFxlKhcvBJJ	Celldweller
4mMHNh4WeCZ4WxPFnkJHM1	Celma Ribas
4ZISAmHmQUDCpv8xydqeKG	Celtic Frost
2LiLNsS5rRWmnOSQM5F8Zz	Cemetery Sun
1lIbZfJvMQRqzhtCQsg5EI	Cem Karaca
0UW9Tl5qFmdPL4U9sTVHZo	Centhron
0bamlDtTg8xXwgG4nd59bg	Cerebral Bore
4cljIUQT485JcBY5VwRsbY	Cesare Sterbini
1C3sffOOvQNUwg4YIsvKqy	César Franck
0Nks3cFWU2a7rooAlFQYgn	Cesaria Evora
5cl9YjDDdgrN50CJzZO6er	Cesk Freixas
5Mfrm8c1UO6l4tbV1itxZ5	Çetin Işıközlü
2crPPfVdmrxn5yUHLQVqOI	Ceylan Ertem
28Qbi9jTj2eej21P2mImZI	Ceza
504cl42JQLRqlZddfZ3S4z	Cezinando
4aemlCxfmvFjJa8YKvaiJI	CFO$
3sb8MSZiS3aN99raiJvxEw	Chamupa Unlimited
1anyVhU62p31KFi8MEzkbf	Chance the Rapper
6D6rjLdxyE5vwhMlkuQq0E	Chaos Chaos
7oUbDXTgfdfIoA6kSYFCGt	"Charles ""Bobo"" Shaw"
0k4DCtvm6yFj8OnuVKebTw	Charles Calello
1pBUXEAiC0icwp4BD2K3ek	Charles Cording
3imOhziSMdRTBYjiRKFjaY	Charles Dibdin
496ho8Jmxk19aCyagWaOdQ	Charles Dickens
0Ku5VBNL7cfGXRhp2BxXEQ	Charles Dutoit
3ud1yQWO0eEL8hVcXyU0Oi	Charles Earland
5KKj8et25S6jIXSTTeDLXC	Charles Griffes
73s17iW5LTtXRMVoofi9sU	Charles Ives
1iyvtzGjtuQa1I5UGpzk6l	Charles Mackerras
7hFhfDbLLuKBsShFx4fkYE	Charles Medlam
6WHrx8gV5EJplq8L9T4EkW	Charles Overton
7scsChMHAbS55PkiNjUjfk	Charles van Lerberghe
1g5nZfwrmjGs2wLKi3XHk2	Charles Villiers Stanford
4SPws2VXOmZIiRTp75mzsb	Charlie Barnet
6AmG7SNdlV9boPZ7dFVnLY	Charlie Chaplin
2PehDfYkpV5CHXxXW9jjTv	Charlie Hides
3ZhiXbGkRkhShvibRLUYKT	Charlie McDonnell
2ZGR4Zw5lhal9sfyLpMRla	Charlie Nederpelt
3YkaicfYcthovHMsDHEh8j	Charlie Norman
4Ww5mwS7BWYjoZTUIrMHfC	Charlie Parker
2OOAWkt15smEKXtNNLtaNG	Charlie Parr
6VuMaDnrHyPL1p4EHjYLi7	Charlie Puth
3CGzpCMqpqHnafmn2PFQd9	Charlie Simpson
25uiPmTg16RbhZWAqwLBy5	Charli XCX
5XxDLEa2dOUN1w1GQe1LLo	Charlotte Campbell
58quCP7j2McEeEtRungVle	Charlotte Devaney
2rBcvLKWCZs9w1qIWv560v	Charlotte Gainsbourg
3jO7X5KupvwmWTHGtHgcgo	Charly García
6oGScNAdDsfnfY0N4y0Zls	Charm City Devils
5Clepl0SyH18sgxUOiJv4C	Chaun
1JbemQ1fPt2YmSLjAFhPBv	Chayanne
4ozK18XVLjOJHyxcsLCbmh	Chayo Valencia
1LB8qB5BPb3MHQrfkvifXU	Cheap Trick
7DMveApC7UnC2NPfPvlHSU	Cheat Codes
5ZZqIQ25HQmufjjf2trwFO	Cheek
68KZ4vm3B5yAZutdy2RvIE	Cheka
0i3ypO6G38iZmANDHWZxlY	Chenoa
72OaDtakiy6yFqkt4TsiFt	Cher
3pIGm1omCcHIb1juBNHspg	Cherry Glazerr
1stGNsBocVFM9MfQtySETw	Cherry Poppin' Daddies
2jLGfQjfLu7sb1U2ypHq3K	Cheryl Barker
4S7mAJFFsYYZE3gTYuf254	Chiaki Ishikawa
0muLFXCuJkwVq8JBMmiips	Chiaki Itō
3iDD7bnsjL9J4fO298r0L0	Chicago
31NF3yc9DoAdh2bgR6mY04	Chico Hamilton
5jI7f9YiULBD4tInovxnnj	Chieko Tsutsumi
1xUhNgw4eJDZfvumIpcz1B	Children of Bodom
32Q7e7e8kPrCaT41FoLqZb	ChinaSweets
5p0oONcCugleF6npIDqdtJ	Chinmayi Sripada
6mgvN6ZusGnE2uz5WWO3nC	Chipzel
186iv7Lukl7diiiPyOiRln	Chiquetete
39rKElzF7q6K4O2flycSEc	Chlara
34sL9HIOU50t8u0IQMZeze	Chloë Agnew
7vYe47XsRmlUuaA9ZSC9fi	Chloé Pelletier-Gagnon
3JhWiwLN9iWfQNh60kGmi4	Chloe Rose Lattanzi
0YPIovtLh5msFPFuCcn30R	Cho
1WCqmUezh1dSnBcHSozS57	Chocolat
2SLzuMJK6b2PhVjMlUiDEW	Choice Provisions
1IrKUHz5tIrGTFXcjmj46x	Chord Overstreet
29FjHOZvV8xNk2qfoxrnV0	Chór Juranda
50lhyY7UVI9NyVHl79rVgk	Chris Baio
7bXgB6jMjp9ATFy66eO08Z	Chris Brown
6wcLciIf42eKhlJ7hafgVh	Chris Caffery
6kic5bCjlohhDn9KzXbOta	Chris Clark
0XHiH53dHrvbwfjYM7en7I	Chris Cornell
2QewDwamIBPdWpwSeIPYyy	Chris G
2P81PTLso5gZNqbw1BpcP5	Chris Gethard
3UxG0G4EHN6baUp5ZM0cOo	Chris Hardwick
6DlzKo9HtbAZb5ZBknDZot	Chris Hülsbeck
7290H8m1Dwt8G7jm1y9CQx	Chris Isaak
2Pawr6MMX9VBIQ9oUHg7jc	Chris Norman
5rZBXTVAChVXMVeO7gw3xK	Chris Rodrigues
2ozLlEZTdSV3pjHgWwZMsi	Chrissie Hynde
5JgHSVq8O8v7iQW3soUcqp	Chris Straub
1Jgntox16Lhl0bFoRhV3Ar	Christa Ludwig
0KJq67JIAdRve6sqvhbpfr	Christelle Abinasr
1dyGPAYZZHHW6WIqwKN5QF	Chris Thile
04PGhyxd6SAW1vWHiTmpCI	Christian Blom
66mcMaTi8lqo9DfWkF5JKM	Christian Blom
4vejJo9jfnsoxq7UtsJPoQ	Christian Dozzler
6RUJVPEzWRkKI92QYXbU1S	Christiane Oelze
46k2vOeqgGSPna2dZnoQg6	Christian Geist
0reEj3pa0lTG2gOkj9BoPb	Christian Gerhaher
2DtZwF1LKXqqNd4PhCa5Ex	Christian Gottlob Neefe
4SCbWhexXPTAl0XN4EAmWF	Christian Ihle Hadland
3xUfHXykQa2D2kyPwSHcJa	Christian Krauter
2gQKtXD5BZqKT8Tl9JfFcy	Christian Lindberg
3tSvlEzeDnVbQJBTkIA6nO	Christian Löffler
3OgfCHk8YwaZ7NjQHbL4f3	Christian Meier
0fEyv0n8MBgXZQLOMcHbZO	Christian Mistress
7ENpNhFPU5PRxhBCpLiwOL	Christianne Stotijn
2q37Nw8NND2z1T1KU5XVfn	Christian Scott
1oPUErp9mTWfHmd83isw0M	Christian Sebastia
1fo7wyhU0wmbIbknhGaBOi	Christian Tetzlaff
5c2dloAaXR2qRbIVh2C0jD	Christian Thielemann
0E7PdEWOAW6t5k9qKSwQxF	Chris Tilton
1l7ZsJRRS8wlW3WfJfPfNS	Christina Aguilera
2h6LnSR3sL2u70oVFJFzVa	Christina Blust
0Cav8jyZKAHMFbAusOmjku	Christina Grimmie
4204EReYts5J3YCu7um2y9	Christina Högman
0XdF22gjqoTj0yEzKBRUVA	Christina Schollin
04vj3iPUiVh5melWr0w3xT	Christine and the Queens
2I5c4Q19TYeZtBbhZWXalM	Christine Rice
2iNeO0nkdKDIjnOXgT9XH0	Christofer Elgh
6pRi6EIPXz4QJEOEsBaA0m	Chris Tomlin
1IXEkLzTocbP2eqIyDqZCv	Christoph & Lollo
3AYPQ4bzYG7Qh08kzIVUQL	Christopher Anton
0bqxV7zIaqAp1JqKjSyMKn	Christopher Bowers-Broadbent
4zcdZnaSdq8wiqEIlCAdrK	Christopher Hinterhuber
0vBafEFOLXtq5mZuhMgsyL	Christopher Hogwood
4yoisdo1jlhY8UYF95fcM4	Christophe Rippert
0nTIpHKhGTnIqzi24kN6oK	Christopher Jackson
2TQwXfupr6fAEV5AgNqIO5	Christopher Lennertz
3aCRF9PEJRl9zDKKLedMAI	Christopher Robinson
2oAW1zHwCJo8RT0HPbEXNO	Christopher Tye
0XHtezS69NYZ51SEFh8WEA	Christopher Willits
30l3fKhNLE1lQcn1FkrUOG	Christoph Poppen
5H4ABKp8qUdj8Hy8mu2xQv	Christoph Prégardien
7vfydQ0nVBVgJ0ajs8EtRM	Christoph Willibald von Gluck
2vGQgXmRgRY0h3D1Y8ndYu	Chrysalide
1uyFiOgdudAFNxNKGHQsKc	Chrysta Bell
3MFFalA1IZ44q27NwqeCN1	Chthe'ilist
5o7Q5TZ6ruqfBiC2cIww6J	Chucho Merchán
293zczrfYafIItmnmM3coR	Chuck Berry
7iv6rnpLTjV9sdsBSdEmvu	Chuck Domanico
04mD8HNzt5JzRpicrYspdu	Chuck Warp
0TcYeHEK9sBtv7xPbKhzHz	Chumbawamba
48oiffaUrQHZXzfvr5aO1L	Church of Misery
3CjlHNtplJyTf9npxaPl5w	Chvrches
7rSykIe3Og1NMbIV6LOeVx	CHVRN
1QAJqy2dA3ihHBFIHRphZj	Cigarettes After Sex
7HL4id2U7FSDJtfKQHMgQx	Cinderella
4aZNPcxUTyaFNDelbcw4eJ	Cindy Bullens
7oLvA4k3CLVnjuTRsf20NM	Circo Cafe
1pxKRI6EFLtWmAiya9Pj1S	Circus Maximus
6Yjsn8lFNxxjFjY53CCQV9	Cirith Gorgor
4TiCdaMLVAz0W8GqeZ6jN4	Cities Last Broadcast
74gcBzlQza1bSfob90yRhR	City and Colour
2tCmGWdsh3tyOWRHUlw2t4	Cityman
5Ccfd7BQ60Ck1JzYmde8qM	Cixqo
3ZQEU2arcWXSv3oz8hwWBK	CKY
0tzSBCPJZmHTdOA3ZV2mN3	CL
3d7oNswlotJuxMHVyvyFSt	Claes Björklund
3xCwhFeIUkdyi9V0skNdLi	Claes-Göran Hederström
6eyXxa9VY7xgAJF5Gtr7QX	Claire Johnston
613tmyKDdoQuooJUzaLKfK	Claire Rutter
1wHmR7I0UlF58WFQexCPha	Clan of Xymox
2yzaWNFV3cxmcRZtwtr5WC	Clara Schumann
7lffJlv0nRl0sIsHDmo0SB	Clarence Carter
4Wy4Z2AV572irMroU3Bi3p	Clare Wilkinson
5htVtReJ3NAwcAdxdHpim3	ClariS
6zd15xXQNslajE0YjZR8jM	Clarita Parra
28CuxNgN5XN2pjLNYAMZjE	Claron McFadden
4sPlnT7fxB77BTMCztEmzR	Class A'z
1BT9d3vAej5Mnwr89tX6je	Claude Challe
1Uff91EOsvd99rtAupatMP	Claude Debussy
02jy9xdQBYFfcVsZiRxtLy	Claude Joseph Rouget de Lisle
40jJttoGN8egIF625TqgPl	Claude Joseph Rouget de Lisle
5n4yOLRlGZtQvFzD7JBRop	Claude Loyola Allgén
5CYAFhywQTXdZmppCp0ukd	Claude VonStroke
0vAVwFhJTi5UegO0EAwJH4	Claudia Cislek
3OynPmQATAZDgkTcOQJjRb	Claudio Casciolini
5iAhVgz6P8Nylxijb0C65v	Claudio Monteverdi
1xE3snzm12GBK259IqEFlY	Clawfinger
6MDME20pz9RveH9rEXvrOM	Clean Bandit
7o67vAe1IEhe3icpmFDrN4	Clem Curtis
6YoGAC3Z4jQdZHFlGu8Hlo	CLFRD
22c24jxFv4s340DtGNqUZo	Clifford Curzon
3Ay15wt0QChT4Kapsuw5Jt	Clint Black
01xiB0IlXMXy3wrrotgDnU	Clint Mansell
6rICTf2LE002o9bVau7opy	Clinton Scollard
6R1T5YklzC9OFugGt8RwOD	Cloud Cult
3OD7fkHK24rI5G6yoaHzmw	Cloven Hoof
355SqtHY4qKt2wIXrWku0c	Cloves
1496XxkytEk26FUJLfpVZr	CloZee
46yVESiTQjQbs3xqMqv7pj	CLOZVRE
5lHhbrX9ll4e8ilhvLzzI6	Clubroot
161AC1AVRkIGIMxyj5djFQ	Clutch
687p4CLJvjm9dX82QHgzBf	Clyde Stubblefield
7Ip1eXTDPgmMib2tTiJCyG	CMX
7quX0koWP5UNocPBlfNgT7	CN Lester
2T8rmKa2k1uot2okGULagY	Coalesce
4wYk01oPJNfaEssVFL46oQ	Coast Modern
4fuZypKGg7klMEF10KTuAN	Cobi
05fo024EFotg9songSENOZ	CocoRosie
5TGWjahgYwvJvz1HtugJDG	Coenie de Villiers
2eRNMtoi82UZUuaL6naDjA	Cœur de pirate
34Dog4Ylyg3eUFJF5Rk7Hc	Coffins
3utxjLheHaVEd9bPjQRsy8	Coheed and Cambria
2ILYIzA7gl2c54YrUmyaG4	Cohol
0Gw3a3BkWLwsMLFbOBmo6Q	Cold
4gzpq5DPGxSnKTe4SA8HAU	Coldplay
4pCVGaLWxDe4d8bsjsnmUM	Coldrain
6VDdCwrBM4qQaGxoAyxyJC	Cold War Kids
3q9nybxzbSHsesDBHUlP4c	Coleman Hell
0LOMMah2zqiiGZ7pfPiXYT	Colin Matthews
34OB6veglJfOx8CzSsu0XY	Collapse Under the Empire
0mOPHkTHaD6cFTMODNBxA3	Colleen
2ybEnEKYd8hw5Mag7uieQa	Collide
19BGdnPfeXHTVUEa5QjRvj	Colm Mac Con Iomaire
1s60AzQYm7kiHJJoqx7nDk	Colombina Parra
20B6eaXUEN0NOvJqdebu7L	Colonel Abrams
7kVCCcGxnqqdL40ZbyECO3	Color Dolor
0JLdqnyAeOFyVSuhiwZYM3	Colours of One
5556RAgwP70PnXbaUTGNbR	Combichrist
4KtaHyqLFlKKb7aghnWBfE	Commander Cody and His Lost Planet Airmen
6twIAGnYuIT1pncMAsXnEm	Commodores
2GHclqNVjqGuiE5mA7BEoc	Common
2wpr4ILskkRzPBGodmbMs1	Compay Segundo
2wouN3QXejYa5tKetYdcVX	Com Truise
06RLyuNu1DPwwvCxLvN476	Concerto Moon
1gbXoccc8bjK8eUh92mILy	Concha Buika
1TGdxJ3UvFq055SVjwx49v	Conchita Wurst
00dO37MVn9tOFTRQVejdqB	Confessor
3OggS6Lzuzojyvd8t8ZAat	Congelador
4JAsazwCHAg3gVdL5q0KMd	Connect.Ohm
4mCprKoEtq3jkgAs0TcpNq	Connee Boswell
6CXAtGZZLPNBHtQzhNciMp	Connery Morgan Arendse
5G9f0LO8XTuSCO6yOPCxXN	connie Dover
6v6kEdFKqKZ2T7XjjBD9um	Connie Talbot
4KhqncLCJBBgfrf87QDLYH	Conny Molin
6JM935joI6WnqmY5YIBVIc	Conon de Béthune
2Z7gV3uEh1ckIaBzTUCE6R	Conor Oberst
11GfEitrU7kbCKvzh1PxQg	Conrad Friedrich Hurlebusch
3lmtXOOsy5mmUCZkQiRZmv	Conrad Nordqvist
1rw8ZTLnDHd74TWDDukjVi	Conrad Sewell
1BAdSa5cdtCNLbvT7gWmtJ	Conro
2rgnIpsawYmq3hOOeQjtJn	Constantine Maroulis
0H36k07ZJu4HUD4oKedpx1	Constraint
766NDtswSx2BReR3LqQyJn	Contemplate
628gUkswCfCS1hIOOHmIpK	Control Machete
3y24n3XhZ96wgwRXjvS17T	Coolio
6I7v8f0I08FnKpyrFujDZY	Cool Pokhrel
2IBYtNwGzJrKm6huCr5VLx	Coraxo
1HGpqo5iYcvKVv82IUHA9s	Cordaro Stewart
778jCMRe7YX8PPXo92Gzma	Corey Ellis
5lvLnqveRUK9CFkX9xjlds	Corey Vidal
3IF20nS3xzinWeuc1PZHW7	Corinne Alal
5B38ZGYpd0msq1LKOyz2r9	Cornelis Vreeswijk
2iNDEp92OiRPF44Vn3Ddh6	Coro de Jóvenes de Madrid
7lfdXL6PuTM5iWJNvI7PPV	Coroner
2RYiwFVDfZvhCdq9rVcxI6	Corporation 187
2daanolQiq5mJ71mbCtlR3	Corry Brokken
2ZYzXIpSNQutFykqeUoS64	Cor Versteeg
2gXmjQIxCO8lMnSncluZaU	Cory Asbury
49rst6rei1Y3KXPWIZlu6m	Coşkun Demir
4C6fXZ7soCX4ycsXguZ1zE	Cosmetic
6ySxYu68zTsO5ghsThpGtS	Cosmic Gate
5zvXOmpjmdlYL7sE1ejaoZ	Cosmow
7eVJh60tcshbgbm26TWISX	Costantino Carrara
3I4GcOB25cSJHa9d7Bsgji	Costee
3m9vrJ0nacuuhkK5tvqInR	Council of Nine
0vEsuISMWAKNctLlUAhSZC	Counting Crows
